game, timeslot, broker, netDemand, mktQty, mktCost, imbalance, imbalanceCost, mktImbCost, estCost
PowerTAC_2018_Finals_260,360,SPOT,0.000,0.000,0.000,0.000,0.000,0.000,0.000
PowerTAC_2018_Finals_260,360,AgentUDE,0.000,0.000,0.000,0.000,0.000,0.000,0.000
PowerTAC_2018_Finals_260,360,default broker,-31173.209,0.000,0.000,-31173.209,-5647.750,-0.000,-0.000
PowerTAC_2018_Finals_260,361,SPOT,0.000,2937.826,-94.490,2937.826,192.680,78.742,0.000
PowerTAC_2018_Finals_260,361,AgentUDE,0.000,0.000,0.000,0.000,0.000,0.000,0.000
PowerTAC_2018_Finals_260,361,default broker,-30896.994,26700.102,-858.766,-4196.892,-275.257,-112.489,-0.000
PowerTAC_2018_Finals_260,362,SPOT,478.140,3006.412,-78.494,3484.552,280.324,111.513,0.000
PowerTAC_2018_Finals_260,362,AgentUDE,-56520.730,0.000,0.000,-56540.530,-4548.561,-1809.422,-1809.422
PowerTAC_2018_Finals_260,362,default broker,-8.500,28811.615,-809.533,28803.115,2317.147,921.764,0.000
PowerTAC_2018_Finals_260,363,SPOT,464.550,0.000,0.000,464.550,-8.339,-5.189,0.000
PowerTAC_2018_Finals_260,363,AgentUDE,-47270.298,36185.939,-1235.084,-9884.359,177.424,110.403,-321.304
PowerTAC_2018_Finals_260,363,default broker,-4.200,37311.501,-1030.827,37307.301,-669.665,-416.702,0.000
PowerTAC_2018_Finals_260,364,SPOT,485.160,64.437,-0.647,549.597,-17.392,-6.618,0.000
PowerTAC_2018_Finals_260,364,AgentUDE,-53951.194,45024.785,-1527.699,-7708.410,243.932,92.817,-271.486
PowerTAC_2018_Finals_260,364,default broker,0.000,39206.475,-1099.206,39206.475,-1240.686,-472.085,0.000
PowerTAC_2018_Finals_260,365,SPOT,502.220,79.836,-3.019,582.056,0.759,-3.688,0.000
PowerTAC_2018_Finals_260,365,AgentUDE,-49891.122,49866.785,-1738.056,426.610,3.248,-2.703,0.000
PowerTAC_2018_Finals_260,365,default broker,0.000,0.000,0.000,0.000,0.000,-0.000,0.000
PowerTAC_2018_Finals_260,366,SPOT,494.960,0.000,0.000,494.960,-3.060,-1.102,0.000
PowerTAC_2018_Finals_260,366,AgentUDE,-44638.856,50329.250,-2047.646,5691.815,-35.216,-12.669,0.000
PowerTAC_2018_Finals_260,366,default broker,0.310,0.000,0.000,0.310,-0.002,-0.001,0.000
PowerTAC_2018_Finals_260,367,SPOT,1658.180,0.000,0.000,1658.180,-18.997,-27.566,0.000
PowerTAC_2018_Finals_260,367,AgentUDE,-38478.567,48280.443,-2100.230,9803.298,-112.370,-162.971,0.000
PowerTAC_2018_Finals_260,367,default broker,1.000,0.000,0.000,1.000,-0.011,-0.017,0.000
PowerTAC_2018_Finals_260,368,SPOT,2861.110,75.698,0.000,2936.809,-27.790,-2.627,0.000
PowerTAC_2018_Finals_260,368,AgentUDE,-37910.757,44441.175,-2484.496,6532.728,-61.878,-5.844,0.000
PowerTAC_2018_Finals_260,368,default broker,2.407,0.000,0.000,2.407,-0.023,-0.002,0.000
PowerTAC_2018_Finals_260,369,SPOT,3566.510,64.884,0.000,3631.394,419.996,174.905,0.000
PowerTAC_2018_Finals_260,369,AgentUDE,-45487.822,41857.622,-2842.865,-3814.205,-441.139,-183.710,-183.710
PowerTAC_2018_Finals_260,369,default broker,-1.194,0.000,0.000,-1.194,-0.138,-0.058,-0.058
PowerTAC_2018_Finals_260,370,SPOT,3636.297,53.867,-3.549,3690.163,-12.278,-45.066,0.000
PowerTAC_2018_Finals_260,370,AgentUDE,-46873.404,47494.832,-3237.186,817.325,-3.313,-9.982,0.000
PowerTAC_2018_Finals_260,370,default broker,4.040,0.000,0.000,4.040,-0.013,-0.049,0.000
PowerTAC_2018_Finals_260,371,SPOT,4464.618,49.917,-3.525,4514.536,-43.270,-48.740,0.000
PowerTAC_2018_Finals_260,371,AgentUDE,-38411.188,44711.194,-3503.726,6302.883,-60.480,-68.047,0.000
PowerTAC_2018_Finals_260,371,default broker,3.045,0.000,0.000,3.045,-0.029,-0.033,0.000
PowerTAC_2018_Finals_260,372,SPOT,4656.270,2047.271,-15.169,6703.541,-8.923,-186.808,0.000
PowerTAC_2018_Finals_260,372,AgentUDE,-43886.660,42191.419,-4281.825,-1693.820,2.255,47.202,-171.666
PowerTAC_2018_Finals_260,372,default broker,0.623,0.000,0.000,0.623,-0.001,-0.017,0.000
PowerTAC_2018_Finals_260,373,SPOT,4237.092,2253.754,-6.996,6490.845,-49.260,-60.562,0.000
PowerTAC_2018_Finals_260,373,AgentUDE,-41684.784,42869.443,-4242.974,1186.080,-9.008,-11.067,0.000
PowerTAC_2018_Finals_260,373,default broker,0.954,0.000,0.000,0.954,-0.007,-0.009,0.000
PowerTAC_2018_Finals_260,374,SPOT,3783.671,3036.287,-63.976,6819.958,-22.417,-9.200,0.000
PowerTAC_2018_Finals_260,374,AgentUDE,-44191.511,42395.190,-4345.519,-1794.901,5.900,2.421,-193.543
PowerTAC_2018_Finals_260,374,default broker,1.580,0.000,0.000,1.580,-0.005,-0.002,0.000
PowerTAC_2018_Finals_260,375,SPOT,2846.274,2732.658,-55.551,5578.932,-23.995,-24.746,0.000
PowerTAC_2018_Finals_260,375,AgentUDE,-43137.068,43113.214,-3812.687,-22.433,0.096,0.100,-1.747
PowerTAC_2018_Finals_260,375,default broker,2.460,0.000,0.000,2.460,-0.011,-0.011,0.000
PowerTAC_2018_Finals_260,376,SPOT,1884.450,2459.392,-50.492,4343.842,23.749,-28.012,0.000
PowerTAC_2018_Finals_260,376,AgentUDE,-42658.439,43113.253,-4063.032,456.234,2.495,-2.942,0.000
PowerTAC_2018_Finals_260,376,default broker,-2.458,0.000,0.000,-2.458,-0.013,0.016,-0.308
PowerTAC_2018_Finals_260,377,SPOT,718.240,2213.453,-45.899,2931.694,21.348,-27.209,0.000
PowerTAC_2018_Finals_260,377,AgentUDE,-42779.406,42930.773,-4944.690,152.788,1.113,-1.418,0.000
PowerTAC_2018_Finals_260,377,default broker,-1.894,0.000,0.000,-1.894,-0.014,0.018,-0.358
PowerTAC_2018_Finals_260,378,SPOT,473.778,1992.108,-44.004,2465.886,10.801,-55.269,0.000
PowerTAC_2018_Finals_260,378,AgentUDE,-38671.422,42869.663,-4884.977,4199.661,18.392,-94.128,0.000
PowerTAC_2018_Finals_260,378,default broker,-0.348,0.000,0.000,-0.348,-0.002,0.008,-0.058
PowerTAC_2018_Finals_260,379,SPOT,472.199,1792.897,-39.778,2265.096,11.777,-3.039,0.000
PowerTAC_2018_Finals_260,379,AgentUDE,-37561.437,41189.800,-3964.745,3629.784,18.871,-4.871,0.000
PowerTAC_2018_Finals_260,379,default broker,-0.716,0.000,0.000,-0.716,-0.004,0.001,-0.097
PowerTAC_2018_Finals_260,380,SPOT,549.275,69.325,0.000,618.600,-3.544,-7.521,0.000
PowerTAC_2018_Finals_260,380,AgentUDE,-34620.653,39737.887,-3502.765,5118.655,-29.350,-62.233,0.000
